Distancia da curva -1,Distancia da curva 1,original_label,adjusted_label
245.93346472582948,109.7770968719058,1,1
321.4619346996136,77.69624406674514,1,1
45352.486213623604,35752.27663996399,1,1
522.4472662553823,432.8530565422674,1,1
671.4602320430995,940.2397107713329,1,1
242.4322514226495,306.0071318497588,1,1
85.48287508264617,106.00249459849478,1,1
430.3669089195498,596.4175606037674,1,1
164.64917977211238,126.07576254654138,1,1
99.69144792019017,379.6207818197529,-1,1
159.49552705715683,168.7848464237021,1,1
585.9274082382705,496.09510930981963,1,1
65.13791312897655,176.70455562969985,1,1
249.52815027743586,85.44880338399356,-1,1
209.08738209565485,568.5141479120912,-1,1
231.1434172696626,75.87823922287899,1,1
456.948950313109,478.6075400735669,1,1
472.1701146768706,714.8807300649369,-1,1
100.3036568219997,65.8301178826601,1,1
3125.1535393975346,1035.9012253255937,-1,1
2894.9580679947335,1071.4433010761052,-1,1
73.5143501513305,142.26817538978815,-1,1
116.45281577600333,65.42932410574404,1,1
411.7913447584706,370.55317941991694,1,1
223.01327490559183,73.51864325128547,1,1
258.64086085243923,380.3343385082491,1,1
152.85196514310184,238.99759518701984,1,1
232.31131092740162,392.75928203261435,-1,1
781.3828954452592,123.10662390203092,1,1
152.5758180588169,188.70717337695538,1,1
386.5395139394341,130.1296757842838,1,1
249.14096698285104,135.75786322259438,1,1
513724.0435321403,311.97664415823033,-1,1
613.797380475554,352.5295870064284,1,1
242.44556324798745,489.69971728513116,-1,1
206.42207896138746,184.07513610563436,1,1
269.31850574030494,136.36180651410288,1,1
114.32638589186291,74.96425610008777,1,1
767.9903505258977,543.0856563301853,1,1
1062.2427296734181,972.5540152755268,1,1
533.9143583212667,296.92451908968536,1,1
180.13479816308413,459.05213458806304,1,1
337.98534101893694,361.897558273136,1,1
157.2677274182457,135.3725137180252,1,1
598.3418728497487,537.008759109693,1,1
515.438783077376,441.90251221224895,1,1
454.91042044947375,136.09823318759803,1,1
67.22888456450715,48.24182347585839,1,1
89.71149578663007,95.4147177494971,1,1
212.39804124903327,178.449014326081,1,1
85.47198053228661,89.25967831335964,1,1
74.3490032121787,75.86880776996497,1,1
451.0865830934508,188.91933525616784,1,1
962.541825158502,829.3637282661417,1,1
68.0687269046926,126.19538746353743,-1,1
45276.54997674378,35719.79929530158,1,1
178.43915433257206,279.14205438721973,-1,1
279.29638878491403,419.0194000139657,-1,1
375.6645886699226,157.40171608131666,1,1
955.6133932965498,801.165708625986,1,1
489.70136654108626,405.80565783026555,1,1
137.42951065753843,99.38316330501648,1,1
760.4410873741165,535.3559323154865,-1,1
230.13516505436993,556.7362427196215,1,1
325.90619935028167,306.7008182991636,-1,1
10348126.18773362,5408400.781296356,1,1
82.36466989013223,58.562008501390274,1,1
9569.22829398392,5494.9273728336375,1,1
96.84557365302693,62.83107444934696,1,1
278.40143041796017,276.0306773235501,-1,1
46138.681324177254,36471.007935399466,1,1
135.41152241105073,233.096299966699,1,1
309.6562308521803,461.7066111908626,1,1
201.1047300347531,347.44850361526187,-1,1
885.8894465039568,508.9262138951369,1,1
171.25509963841057,178.13428348128625,-1,1
382.10602288376356,209.8554896381352,1,1
375.7836889141763,317.62559030417157,1,1
113.68081521638626,70.93900190705413,1,1
40.17323485915001,80.33318123561732,-1,1
360.9438885741992,450.9510607131487,1,1
60.44847423271525,219.39565988389876,-1,1
85.42181460088948,251.17088018435308,1,1
264.35300644337656,107.53703217839868,1,1
194.99171893990226,336.4611900844057,-1,1
99.47949462941831,179.7017188289377,-1,1
464.69184758501837,619.559605068933,-1,1
132.22323038635417,112.51246211004707,-1,1
240.2700525954168,167.42400496249894,1,1
87.387784922189,151.85466508461235,1,1
612.4208803290003,552.5559688200358,1,1
131.41889842368937,245.42734442411404,1,1
206.64414330486395,365.6266510676324,-1,1
483.8912424158258,580.1406267436778,-1,1
57.62380309889859,57.83572702382331,-1,1
310.7478372402548,163.122309041878,1,1
156.47682119260108,291.89402473343046,-1,1
84.62741361280592,106.08938954613471,1,1
258.75802186619495,106.07099239528713,1,1
382.7303594928253,577.1081930311802,1,1
342.30960124124954,206.3588532317149,1,1
121.15103461889623,102.68969891899583,1,1
355.84226070374535,499.97512950231624,-1,1
75.68545715052427,132.86554612080113,-1,1
75.34676322991918,97.92495040048874,1,1
76.50734937701532,43.18212009188618,1,1
612.4890452510136,612.447128629702,1,1
130.1011762273427,242.26520600695423,-1,1
330.00088376944774,387.2694337815448,-1,1
297.545105991202,204.5989231267876,1,1
197.17535196128992,867.3843513263816,-1,1
284.4251607210305,374.46079108542625,-1,1
84.4441165679875,153.03416250342508,-1,1
13052.945653317434,8120.22876345614,1,1
159.79725472668696,367.8223703677073,1,1
162.27630176094573,145.53013799622602,1,1
438.6308733486803,532.7118975001914,-1,1
966.193484487219,379.6767622412098,1,1
708.8647255835672,357.7485929441092,1,1
95.61481328776033,131.36872380616694,-1,1
145.84150241405962,243.9130771306903,1,1
221.3162756732081,71.78461487009316,1,1
13061.749051592691,8211.469139359471,-1,1
355.5720414616131,135.25048074268238,1,1
103.63422023708323,284.3782223641777,-1,1
87.7388266426655,86.85625065305557,1,1
230.34419963941244,129.38649888608623,1,1
218.97654247342774,311.79096678268803,-1,1
72.53093777282794,83.80151972924538,-1,1
202.39286013097436,342.2595813809101,-1,1
1148.653133388103,849.8641076660829,1,1
190.4387524629186,33.40329323672935,-1,1
7330.73748935315,3815.9491681815302,1,1
717.619003360986,406.93277870019665,-1,1
123.2812499433239,136.48679622736972,-1,1
232.66226447312468,94.34714515942285,1,1
1530.3430615446287,844.3729197511751,1,1
90.0555164346454,157.64436901361682,1,1
300.1353795167286,268.66805391848385,1,1
12708.500580384902,7967.50763418242,-1,1
420.69751798297807,78.17226489265161,1,1
523.1163702888598,237.04326403043459,1,1
435.37938822738005,329.3909003213063,-1,1
130.43452493977253,142.8554234012382,1,1
92.89856945537639,62.141473889683304,-1,1
281.4820094223564,260.22724898061745,1,1
