k_max,alfa,lamda,f,obj1_cdor_dist_to_0.1,obj2_wdor,obj3_caer_dist_to_0.1,obj4_waer,obj5_time
8,0.7821589626462723,0.47851442274776057,0.7589167502929633,1.0,1.0,1.0,1.0,1000.0
7,0.17413568937698265,0.7818435297697931,1.3767703708227748,1.0,1.0,1.0,1.0,1000.0
10,0.96492815221565,0.7210903606631632,1.4100160146990397,1.0,1.0,1.0,1.0,1000.0
4,0.3426599267682023,0.23447443309219668,1.2173241433110373,1.0,1.0,1.0,1.0,1000.0
8,0.2692011646457452,1.0,0.7184427269152317,1.0,1.0,1.0,1.0,1000.0
8,0.7440574152713106,1.0,1.1330887599183004,1.0,1.0,1.0,1.0,1000.0
3,0.42224443722548954,0.9024945938386142,0.6463584889123039,1.0,1.0,1.0,1.0,1000.0
5,0.9972625657142997,0.5293087988974453,0.759919889792832,1.0,1.0,1.0,1.0,1000.0
5,0.42224443722548954,0.7802237837415016,1.4100160146990397,1.0,1.0,1.0,1.0,1000.0
4,0.5373349269065314,0.7818435297697931,0.9144179882772473,1.0,1.0,1.0,1.0,1000.0
4,0.5373349269065314,0.7210903606631632,1.3988382879679935,1.0,1.0,1.0,1.0,1000.0
10,0.5373349269065314,0.47851442274776057,1.3298529036589914,1.0,1.0,1.0,1.0,1000.0
2,0.5373349269065314,0.7818435297697931,1.3767703708227748,1.0,1.0,1.0,1.0,1000.0
2,0.5373349269065314,0.2830732171974629,1.2015161675042403,1.0,1.0,1.0,1.0,1000.0
10,0.6288553577578927,0.42269977118044166,1.0962868615831063,1.0,1.0,1.0,1.0,1000.0
7,0.3426599267682023,0.23447443309219668,1.2173241433110373,1.0,1.0,1.0,1.0,1000.0
2,0.9885332809297116,0.2921721958582265,1.2015161675042403,1.0,1.0,1.0,1.0,1000.0
9,0.9885332809297116,0.7217404820858887,0.9579542036471842,1.0,1.0,1.0,1.0,1000.0
5,0.31475433575369816,0.970786225261129,0.6463584889123039,1.0,1.0,1.0,1.0,1000.0
10,0.5748158171508532,0.5385390409621289,0.6463584889123039,1.0,1.0,1.0,1.0,1000.0
10,0.7196860036303375,0.42269977118044166,0.6189102865538557,1.0,1.0,1.0,1.0,1000.0
7,0.19815206133799332,0.42269977118044166,1.2315983062253606,1.0,1.0,1.0,1.0,1000.0
7,0.6312499176875892,0.9027491872785468,1.4159944803568847,1.0,1.0,1.0,1.0,1000.0
5,0.969945730993683,0.5293087988974453,0.759919889792832,1.0,1.0,1.0,1.0,1000.0
2,0.5373349269065314,0.157497678200187,1.2015161675042403,1.0,1.0,1.0,1.0,1000.0
10,0.7196860036303375,0.42269977118044166,1.2315983062253606,1.0,1.0,1.0,1.0,1000.0
